City,Price,Number_Beds,Number_Baths,Median_Family_Income
Toronto,2595000.0,7,6,97000.0
Toronto,1259900.0,4,1,97000.0
Toronto,1225000.0,2,2,97000.0
Toronto,925000.0,2,1,97000.0
Toronto,589900.0,1,1,97000.0
Toronto,849900.0,2,2,97000.0
Toronto,1199000.0,3,2,97000.0
Toronto,799000.0,3,3,97000.0
Toronto,509000.0,1,1,97000.0
Toronto,1900000.0,4,3,97000.0
Toronto,598888.0,2,1,97000.0
Toronto,1095000.0,2,2,97000.0
Toronto,1479000.0,5,3,97000.0
Toronto,998000.0,5,4,97000.0
Toronto,1299000.0,3,2,97000.0
Toronto,980000.0,2,2,97000.0
Toronto,4739000.0,5,6,97000.0
Toronto,998000.0,3,2,97000.0
Toronto,1299900.0,2,2,97000.0
Toronto,2799000.0,4,4,97000.0
Toronto,2495000.0,3,3,97000.0
Toronto,1450000.0,2,2,97000.0
Toronto,699900.0,1,1,97000.0
Toronto,1399900.0,5,2,97000.0
Toronto,1709000.0,4,2,97000.0
Toronto,620000.0,2,1,97000.0
Toronto,1129000.0,3,3,97000.0
Toronto,1950000.0,4,3,97000.0
Toronto,1698000.0,3,2,97000.0
Toronto,988000.0,3,2,97000.0
Toronto,3199999.0,4,5,97000.0
Toronto,549800.0,1,1,97000.0
Toronto,359000.0,1,1,97000.0
Toronto,3695000.0,5,4,97000.0
Toronto,2249000.0,6,5,97000.0
Toronto,659990.0,1,1,97000.0
Toronto,899000.0,4,2,97000.0
Toronto,975000.0,3,2,97000.0
Toronto,749900.0,3,1,97000.0
Toronto,2399000.0,4,4,97000.0
Toronto,415000.0,2,1,97000.0
Toronto,999999.0,3,2,97000.0
Toronto,1499000.0,5,4,97000.0
Toronto,2499998.0,5,4,97000.0
Toronto,1699000.0,6,5,97000.0
Toronto,1599000.0,3,3,97000.0
Toronto,749999.0,2,1,97000.0
Toronto,2388000.0,4,4,97000.0
Toronto,629000.0,2,1,97000.0
Toronto,815000.0,2,1,97000.0
Toronto,520000.0,1,1,97000.0
Toronto,599900.0,2,1,97000.0
Toronto,6095000.0,5,5,97000.0
Toronto,2099000.0,4,3,97000.0
Toronto,3849000.0,4,4,97000.0
Toronto,898800.0,3,2,97000.0
Toronto,1098999.0,3,2,97000.0
Toronto,724900.0,2,1,97000.0
Toronto,1249000.0,4,3,97000.0
Toronto,649900.0,2,1,97000.0
Toronto,949000.0,3,3,97000.0
Toronto,730000.0,2,1,97000.0
Toronto,1149000.0,4,2,97000.0
Toronto,499900.0,3,1,97000.0
Toronto,1149000.0,7,3,97000.0
Toronto,1525000.0,5,2,97000.0
Toronto,45000.0,3,5,97000.0
Toronto,678888.0,2,1,97000.0
Toronto,1829000.0,4,5,97000.0
Toronto,1349000.0,3,1,97000.0
Toronto,659100.0,2,1,97000.0
Toronto,1139000.0,2,2,97000.0
Toronto,1290000.0,3,3,97000.0
Toronto,1999000.0,4,3,97000.0
Toronto,3379000.0,6,4,97000.0
Toronto,1195000.0,3,3,97000.0
Toronto,839000.0,2,1,97000.0
Toronto,2399000.0,2,3,97000.0
Toronto,749900.0,3,2,97000.0
Toronto,399000.0,1,1,97000.0
Toronto,525000.0,2,1,97000.0
Toronto,3149900.0,3,5,97000.0
Toronto,1695000.0,4,3,97000.0
Toronto,999785.0,3,2,97000.0
Toronto,1155000.0,3,2,97000.0
Toronto,1080000.0,2,2,97000.0
Toronto,1150000.0,3,2,97000.0
Toronto,899900.0,3,2,97000.0
Toronto,798000.0,4,2,97000.0
Toronto,685000.0,2,1,97000.0
Toronto,829900.0,1,1,97000.0
Toronto,950000.0,4,2,97000.0
Toronto,668000.0,2,1,97000.0
Toronto,1359999.0,3,5,97000.0
Toronto,575000.0,2,1,97000.0
Toronto,688000.0,2,1,97000.0
Toronto,838000.0,2,1,97000.0
Toronto,723000.0,2,1,97000.0
Toronto,950000.0,3,2,97000.0
Toronto,1849000.0,4,2,97000.0
Toronto,629999.0,2,1,97000.0
Toronto,749000.0,4,3,97000.0
Toronto,988000.0,4,4,97000.0
Toronto,1159000.0,3,3,97000.0
Toronto,1649000.0,5,4,97000.0
Toronto,675000.0,1,1,97000.0
Toronto,949888.0,3,2,97000.0
Toronto,750000.0,1,1,97000.0
Toronto,759900.0,2,1,97000.0
Toronto,1150000.0,4,4,97000.0
Toronto,630000.0,2,1,97000.0
Toronto,2198000.0,3,2,97000.0
Toronto,1488000.0,3,2,97000.0
Toronto,639900.0,2,2,97000.0
Toronto,2199000.0,4,5,97000.0
Toronto,699000.0,1,1,97000.0
Toronto,968000.0,2,2,97000.0
Toronto,669000.0,2,2,97000.0
Toronto,985000.0,4,2,97000.0
Toronto,635000.0,2,1,97000.0
Toronto,1495000.0,4,2,97000.0
Toronto,778000.0,1,1,97000.0
Toronto,649900.0,1,1,97000.0
Toronto,925000.0,2,2,97000.0
Toronto,549800.0,2,1,97000.0
Toronto,2248000.0,4,3,97000.0
Toronto,708000.0,2,1,97000.0
Toronto,3099000.0,6,6,97000.0
Toronto,715000.0,2,2,97000.0
Toronto,739000.0,3,2,97000.0
Toronto,530000.0,1,1,97000.0
Toronto,1875000.0,4,3,97000.0
Toronto,2588800.0,4,4,97000.0
Toronto,1499000.0,4,6,97000.0
Toronto,675000.0,2,1,97000.0
Toronto,509900.0,1,1,97000.0
Toronto,7595000.0,7,6,97000.0
Toronto,535000.0,1,1,97000.0
Toronto,2188800.0,4,4,97000.0
Toronto,629999.0,2,2,97000.0
Toronto,2699900.0,5,5,97000.0
Toronto,2380000.0,10,5,97000.0
Toronto,648888.0,1,1,97000.0
Toronto,524900.0,3,2,97000.0
Toronto,595888.0,2,2,97000.0
Toronto,3495000.0,5,5,97000.0
Toronto,2475000.0,3,3,97000.0
Toronto,650000.0,1,1,97000.0
Toronto,895000.0,2,2,97000.0
Toronto,2999900.0,15,4,97000.0
Toronto,1075000.0,3,2,97000.0
Toronto,714900.0,1,1,97000.0
Toronto,1799999.0,4,2,97000.0
Toronto,798000.0,2,2,97000.0
Toronto,3995000.0,5,6,97000.0
Toronto,1049800.0,4,2,97000.0
Toronto,499888.0,3,2,97000.0
Toronto,998000.0,3,1,97000.0
Toronto,2399000.0,5,6,97000.0
Toronto,2260000.0,5,4,97000.0
Toronto,2650000.0,5,4,97000.0
Toronto,479900.0,1,1,97000.0
Toronto,698000.0,4,1,97000.0
Toronto,769900.0,3,2,97000.0
Toronto,3999990.0,3,3,97000.0
Toronto,759000.0,2,1,97000.0
Toronto,645000.0,2,2,97000.0
Toronto,1298800.0,3,3,97000.0
Toronto,2999000.0,5,6,97000.0
Toronto,959999.0,3,2,97000.0
Toronto,848000.0,2,2,97000.0
Toronto,636000.0,1,1,97000.0
Toronto,488000.0,2,2,97000.0
Toronto,899000.0,1,1,97000.0
Toronto,888000.0,3,2,97000.0
Toronto,1149999.0,3,2,97000.0
Toronto,3198000.0,4,4,97000.0
Toronto,2749000.0,6,4,97000.0
Toronto,647500.0,2,2,97000.0
Toronto,624500.0,2,1,97000.0
Toronto,819000.0,3,3,97000.0
Toronto,1862400.0,4,4,97000.0
Toronto,999000.0,3,3,97000.0
Toronto,1299900.0,3,3,97000.0
Toronto,980000.0,3,2,97000.0
Toronto,1639000.0,4,2,97000.0
Toronto,4999000.0,4,4,97000.0
Toronto,1999900.0,3,4,97000.0
Toronto,724500.0,2,2,97000.0
Toronto,1710000.0,3,2,97000.0
Toronto,1768000.0,3,2,97000.0
Toronto,1249000.0,2,3,97000.0
Toronto,668000.0,1,1,97000.0
Toronto,1149999.0,2,1,97000.0
Toronto,588000.0,2,2,97000.0
Toronto,2050000.0,4,2,97000.0
Toronto,1599999.0,3,2,97000.0
Toronto,475000.0,1,1,97000.0
Toronto,665000.0,2,1,97000.0
Toronto,599900.0,3,1,97000.0
Toronto,1499000.0,4,2,97000.0
Toronto,1048000.0,3,1,97000.0
Toronto,449000.0,1,1,97000.0
Toronto,799000.0,4,3,97000.0
Toronto,519900.0,1,1,97000.0
Toronto,645000.0,2,1,97000.0
Toronto,1475000.0,3,2,97000.0
Toronto,700000.0,2,2,97000.0
Toronto,930000.0,3,2,97000.0
Toronto,600000.0,2,1,97000.0
Toronto,679000.0,1,1,97000.0
Toronto,639900.0,3,2,97000.0
Toronto,564900.0,1,1,97000.0
Toronto,725000.0,1,1,97000.0
Toronto,1375000.0,3,2,97000.0
Toronto,866800.0,1,1,97000.0
Toronto,829000.0,2,1,97000.0
Toronto,1099999.0,4,2,97000.0
Toronto,888000.0,2,2,97000.0
Toronto,1499999.0,5,5,97000.0
Toronto,724900.0,2,2,97000.0
Toronto,774900.0,3,2,97000.0
Toronto,599888.0,2,2,97000.0
Toronto,619900.0,1,1,97000.0
Toronto,739900.0,2,1,97000.0
Toronto,1080000.0,3,3,97000.0
Toronto,728000.0,2,1,97000.0
Toronto,888000.0,3,3,97000.0
Toronto,649999.0,2,2,97000.0
Toronto,625000.0,2,1,97000.0
Toronto,1745000.0,5,4,97000.0
Toronto,999888.0,5,4,97000.0
Toronto,569989.0,2,1,97000.0
Toronto,799900.0,2,1,97000.0
Toronto,589000.0,1,1,97000.0
Toronto,788000.0,2,1,97000.0
Toronto,5150000.0,5,4,97000.0
Toronto,1995000.0,4,2,97000.0
Toronto,778000.0,2,2,97000.0
Toronto,1248000.0,3,3,97000.0
Toronto,589900.0,2,1,97000.0
Toronto,629900.0,2,1,97000.0
Toronto,459900.0,3,2,97000.0
Toronto,1349000.0,5,2,97000.0
Toronto,1899000.0,4,5,97000.0
Toronto,1799000.0,4,2,97000.0
Toronto,3098000.0,4,4,97000.0
Toronto,1635000.0,4,3,97000.0
Toronto,898000.0,3,3,97000.0
Toronto,1278000.0,3,2,97000.0
Toronto,979000.0,2,2,97000.0
Toronto,3369000.0,5,4,97000.0
Toronto,2995000.0,3,4,97000.0
Toronto,597500.0,2,1,97000.0
Toronto,1249000.0,2,2,97000.0
Toronto,399900.0,1,1,97000.0
Toronto,2699000.0,3,3,97000.0
Toronto,3595000.0,5,5,97000.0
Toronto,929000.0,2,2,97000.0
Toronto,890000.0,2,1,97000.0
Toronto,1458000.0,5,3,97000.0
Toronto,769999.0,2,2,97000.0
Toronto,835000.0,2,2,97000.0
Toronto,2349900.0,5,4,97000.0
Toronto,1070000.0,2,2,97000.0
Toronto,949900.0,2,2,97000.0
Toronto,538000.0,1,1,97000.0
Toronto,825000.0,3,2,97000.0
Toronto,410000.0,1,1,97000.0
Toronto,620000.0,1,1,97000.0
Toronto,609900.0,2,1,97000.0
Toronto,1369000.0,3,2,97000.0
Toronto,5825000.0,15,8,97000.0
Toronto,1850000.0,3,2,97000.0
Toronto,2688888.0,6,5,97000.0
Toronto,769000.0,1,1,97000.0
Toronto,619000.0,2,2,97000.0
Toronto,619999.0,3,2,97000.0
Toronto,1795000.0,2,2,97000.0
Toronto,659999.0,2,1,97000.0
Toronto,700000.0,1,1,97000.0
Toronto,828800.0,2,2,97000.0
Toronto,628888.0,1,1,97000.0
Toronto,456999.0,3,3,97000.0
Toronto,1125990.0,4,3,97000.0
Toronto,1062990.0,1,1,97000.0
Toronto,818800.0,2,2,97000.0
Toronto,672000.0,1,1,97000.0
Toronto,1299999.0,6,4,97000.0
Toronto,779000.0,2,2,97000.0
Toronto,2095000.0,2,2,97000.0
Toronto,1150000.0,4,2,97000.0
Toronto,1168000.0,3,2,97000.0
Toronto,415000.0,1,1,97000.0
Toronto,1090000.0,3,2,97000.0
Toronto,1129900.0,2,2,97000.0
Toronto,720000.0,2,2,97000.0
Toronto,859000.0,3,2,97000.0
Toronto,2995000.0,5,5,97000.0
Toronto,1689000.0,3,2,97000.0
Toronto,3198000.0,5,5,97000.0
Toronto,1795000.0,3,3,97000.0
Toronto,456999.0,2,1,97000.0
Toronto,1675000.0,4,4,97000.0
Toronto,2200000.0,2,3,97000.0
Toronto,489000.0,1,1,97000.0
Toronto,1500000.0,5,3,97000.0
Toronto,828000.0,1,1,97000.0
Toronto,1752400.0,3,2,97000.0
Toronto,1398000.0,2,1,97000.0
Toronto,1425000.0,3,2,97000.0
Toronto,1099000.0,1,1,97000.0
Toronto,1299000.0,2,1,97000.0
Toronto,708800.0,2,1,97000.0
Toronto,1995000.0,4,3,97000.0
Toronto,3795000.0,5,5,97000.0
Toronto,2899000.0,4,5,97000.0
Toronto,1148800.0,2,2,97000.0
Toronto,990000.0,2,1,97000.0
Toronto,1672000.0,2,2,97000.0
Toronto,1999000.0,8,3,97000.0
Toronto,674900.0,2,1,97000.0
Toronto,419900.0,2,1,97000.0
Toronto,425000.0,2,1,97000.0
Toronto,500000.0,3,2,97000.0
Toronto,1149000.0,5,2,97000.0
Toronto,999000.0,5,2,97000.0
Toronto,999999.0,4,2,97000.0
Toronto,1049000.0,4,1,97000.0
Toronto,1999800.0,5,2,97000.0
Toronto,1075999.0,4,2,97000.0
Toronto,648000.0,2,1,97000.0
Toronto,2998000.0,4,3,97000.0
Toronto,1495000.0,3,2,97000.0
Toronto,879000.0,2,2,97000.0
Toronto,890800.0,2,2,97000.0
Toronto,1099000.0,2,3,97000.0
Toronto,699990.0,1,1,97000.0
Toronto,2099000.0,2,3,97000.0
Toronto,559000.0,3,2,97000.0
Toronto,674900.0,2,2,97000.0
Toronto,1450000.0,9,4,97000.0
Toronto,775000.0,2,2,97000.0
Toronto,590000.0,1,1,97000.0
Toronto,649900.0,2,2,97000.0
Toronto,1225000.0,5,2,97000.0
Toronto,2399900.0,5,4,97000.0
Toronto,499900.0,1,1,97000.0
Toronto,2498888.0,7,4,97000.0
Toronto,799000.0,1,1,97000.0
Toronto,1399900.0,3,2,97000.0
Toronto,729000.0,1,1,97000.0
Toronto,1749000.0,4,3,97000.0
Toronto,3395000.0,5,5,97000.0
Toronto,1299999.0,3,2,97000.0
Toronto,5788000.0,5,6,97000.0
Toronto,629900.0,1,1,97000.0
Toronto,1349900.0,2,2,97000.0
Toronto,539900.0,1,1,97000.0
Toronto,2500000.0,4,4,97000.0
Toronto,844000.0,2,2,97000.0
Toronto,912000.0,2,2,97000.0
Toronto,688800.0,2,1,97000.0
Toronto,4289000.0,5,4,97000.0
Toronto,1775000.0,2,3,97000.0
Toronto,1589000.0,2,3,97000.0
Toronto,673900.0,1,1,97000.0
Toronto,1189000.0,2,4,97000.0
Toronto,694999.0,2,2,97000.0
Toronto,889900.0,3,2,97000.0
Toronto,1199000.0,3,3,97000.0
Toronto,1299000.0,4,3,97000.0
Toronto,1699900.0,3,2,97000.0
Toronto,2995000.0,5,6,97000.0
Toronto,2688000.0,4,5,97000.0
Toronto,448800.0,1,1,97000.0
Toronto,2098000.0,3,3,97000.0
Toronto,1228000.0,2,2,97000.0
Toronto,1649000.0,3,3,97000.0
Toronto,1045000.0,2,2,97000.0
Toronto,1349900.0,4,2,97000.0
Toronto,640000.0,1,1,97000.0
Toronto,1698000.0,4,1,97000.0
Toronto,3350000.0,5,5,97000.0
Toronto,1050000.0,3,2,97000.0
Toronto,999900.0,5,2,97000.0
Toronto,1099900.0,4,2,97000.0
Toronto,4688000.0,5,6,97000.0
Toronto,1098000.0,3,2,97000.0
Toronto,719000.0,2,2,97000.0
Toronto,1288000.0,3,4,97000.0
Toronto,869260.0,2,2,97000.0
Toronto,5588000.0,5,6,97000.0
Toronto,979000.0,3,2,97000.0
Toronto,689800.0,2,2,97000.0
Toronto,648000.0,1,1,97000.0
Toronto,739000.0,2,1,97000.0
Toronto,2750000.0,4,7,97000.0
Toronto,880000.0,2,2,97000.0
Toronto,1189000.0,3,3,97000.0
Toronto,1299000.0,2,2,97000.0
Toronto,1415000.0,3,2,97000.0
Toronto,1338000.0,3,2,97000.0
Toronto,933900.0,2,2,97000.0
Toronto,449900.0,1,1,97000.0
Toronto,829900.0,2,3,97000.0
Toronto,2245000.0,6,3,97000.0
Toronto,1550000.0,4,2,97000.0
Toronto,3499900.0,8,7,97000.0
Toronto,3726000.0,4,4,97000.0
Toronto,628000.0,2,2,97000.0
Toronto,2499000.0,3,3,97000.0
Toronto,586800.0,2,1,97000.0
Toronto,898900.0,3,2,97000.0
Toronto,1498000.0,2,3,97000.0
Toronto,369900.0,1,1,97000.0
Toronto,640000.0,2,2,97000.0
Toronto,624900.0,2,1,97000.0
Toronto,829900.0,2,1,97000.0
Toronto,879900.0,2,2,97000.0
Toronto,1998000.0,3,1,97000.0
Toronto,1748000.0,3,3,97000.0
Toronto,989000.0,3,3,97000.0
Toronto,1069900.0,4,3,97000.0
Toronto,2799900.0,5,5,97000.0
Toronto,2298999.0,5,3,97000.0
Toronto,1598000.0,2,2,97000.0
Toronto,1879000.0,4,2,97000.0
Toronto,2249000.0,4,3,97000.0
Toronto,7888000.0,5,6,97000.0
Toronto,575900.0,2,2,97000.0
Toronto,1035000.0,2,2,97000.0
Toronto,5750000.0,5,5,97000.0
Toronto,1429900.0,2,2,97000.0
Toronto,600000.0,1,1,97000.0
Toronto,748000.0,2,2,97000.0
Toronto,2750000.0,4,5,97000.0
Toronto,948000.0,2,1,97000.0
Toronto,2198000.0,5,5,97000.0
Toronto,2125000.0,7,4,97000.0
Toronto,519900.0,2,1,97000.0
Toronto,1669000.0,2,2,97000.0
Toronto,869000.0,2,2,97000.0
Toronto,1299000.0,3,3,97000.0
Toronto,599900.0,3,2,97000.0
Toronto,1498000.0,4,4,97000.0
Toronto,655000.0,3,1,97000.0
Toronto,995000.0,4,3,97000.0
Toronto,1238000.0,4,2,97000.0
Toronto,1369000.0,3,3,97000.0
Toronto,4900000.0,5,5,97000.0
Toronto,1399000.0,3,1,97000.0
Toronto,1399000.0,4,4,97000.0
Toronto,773500.0,1,1,97000.0
Toronto,589000.0,2,2,97000.0
Toronto,3598888.0,5,5,97000.0
Toronto,988000.0,2,2,97000.0
Toronto,728800.0,2,1,97000.0
Toronto,479000.0,1,1,97000.0
Toronto,1079000.0,2,2,97000.0
Toronto,859900.0,3,1,97000.0
Toronto,540000.0,1,1,97000.0
Toronto,1000000.0,4,2,97000.0
Toronto,698000.0,1,1,97000.0
Toronto,3998000.0,4,5,97000.0
Toronto,1198000.0,4,2,97000.0
Toronto,559000.0,2,2,97000.0
Toronto,1225000.0,4,2,97000.0
Toronto,815000.0,2,2,97000.0
Toronto,599000.0,2,2,97000.0
Toronto,10950000.0,5,7,97000.0
Toronto,919000.0,2,2,97000.0
Toronto,699800.0,1,1,97000.0
Toronto,2189999.0,4,2,97000.0
Toronto,1599000.0,5,3,97000.0
Toronto,1485000.0,2,2,97000.0
Toronto,1164000.0,2,2,97000.0
Toronto,875000.0,3,2,97000.0
Toronto,2199000.0,5,4,97000.0
Toronto,598000.0,2,2,97000.0
Toronto,2199000.0,4,4,97000.0
Toronto,829000.0,2,2,97000.0
Toronto,2300000.0,4,4,97000.0
